"Status","Name","Duration in ms","Description"
"passed","JSCS.app/code/Magento/Payment/view/frontend/web/js/view/payment/method-renderer/free-method.js","0",""
"passed","JSCS.app/code/Magento/Ui/view/base/web/js/form/components/tab_group.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Sales\Model\Config\Source\Order\Status""","0",""
"passed","JSCS.lib/web/mage/backend/floating-header.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Theme\Block\Html\Header\Logo""","1",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Checkout\Api\GuestTotalsInformationManagementInterface""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllBlocksReferencedInLayoutArePublic with data set ""app/code/Magento/Bundle/view/adminhtml/layout/adminhtml_order_shipment_new.xml""","0",""
"passed","JSCS.app/code/Magento/Ui/view/base/web/js/grid/data-storage.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Sales\Block\Adminhtml\Order\Invoice\Create""","1",""
"passed","JSCS.dev/tests/js/jasmine/tests/app/code/Magento/Ui/base/js/modal/modal.test.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllBlocksReferencedInLayoutArePublic with data set ""app/code/Magento/Msrp/view/frontend/layout/catalog_category_view.xml""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Customer\Model\ResourceModel\Customer""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\ImportExport\Model\Source\Import\Entity""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Backend\Model\Search\Customer""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Catalog\Ui\DataProvider\Product\Related\CrossSellDataProvider""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Bundle\Pricing\Price\ConfiguredPrice""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Catalog\Model\ResourceModel\Product\Collection\ProductLimitation""","0",""
"passed","JSCS.dev/tests/js/jasmine/tests/app/code/Magento/Ui/base/js/form/components/group.test.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Search\Block\Adminhtml\Term""","1",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Indexer\Model\ResourceModel\AbstractResource""","0",""
"passed","JSCS.app/code/Magento/CurrencySymbol/view/adminhtml/web/js/symbols-form.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Swatches\Block\Adminhtml\Attribute\Edit\Options\Visual""","1",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Sales\Block\Adminhtml\Order\View\Tab\Invoices""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Ui\Component\Form\Element\Hidden""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllBlocksReferencedInLayoutArePublic with data set ""app/code/Magento/User/view/adminhtml/layout/adminhtml_locks_block.xml""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Quote\Api\Data\ShippingAssignmentInterface""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\SalesSequence\Model\Manager""","0",""
"passed","Magento\Test\Legacy\Magento\Framework\Module\ModuleXMLTest.testModuleXml with data set ""app/code/Magento/SalesInventory/etc/module.xml""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Quote\Api\Data\AddressAdditionalDataInterface""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Sales\Api\InvoiceItemRepositoryInterface""","0",""
"passed","JSCS.app/design/frontend/Magento/blank/Magento_Theme/web/js/responsive.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllBlocksReferencedInLayoutArePublic with data set ""app/code/Magento/Swatches/view/adminhtml/layout/catalog_product_form.xml""","0",""
"passed","JSCS.lib/web/mage/calendar.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Framework\Search\Adapter\Mysql\Mapper""","0",""
